time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1681143719838188300,0.151188232421875,-0.24082578718662262,0.17148171365261078,0.029592255130410194,0.10228846967220306,-0.3471207916736603,-0.9322254061698914,-0.006325952708721161,-0.043260037899017334,0.06972241401672363,0.9829103084392067,0.17657805834569693,0.05203347018997041,5.7548791556274e-18
1681143719848247300,0.161247314453125,-0.20545567572116852,0.18621966242790222,0.035607270896434784,0.10377112030982971,-0.3452947735786438,-0.9327395558357239,0.003162473440170288,-0.0445672869682312,0.06614714860916138,0.9830409392274441,0.17560475237803472,0.05285071226821568,0.00039210341321188884
1681143719858305300,0.17130517578125,-0.12595126032829285,0.1963263601064682,0.03390897437930107,0.10538125038146973,-0.3439655303955078,-0.9330500960350037,0.018932096660137177,-0.0326366126537323,0.05669212341308594,0.9831197596712062,0.17489233858722955,0.05373651679025667,0.0007936658593132024
1681143719868364300,0.1813642578125,-0.0511501207947731,0.21175217628479004,0.03125353530049324,0.10709595680236816,-0.34333986043930054,-0.9330853223800659,0.03742002695798874,-0.005109876394271851,0.04526793956756592,0.9831282403991516,0.17455109390380877,0.05467416356733532,0.0011671934786067109
1681143719878422300,0.19142236328125,-0.012279420159757137,0.2080056369304657,0.026892341673374176,0.10890403389930725,-0.34326955676078796,-0.9329018592834473,0.06159767508506775,0.012443751096725464,0.045832157135009766,0.983081216492036,0.17450242286903386,0.05565933287938974,0.0015222044603446854
1681143719888481300,0.201481201171875,-0.02832603082060814,0.1891280859708786,0.04136395826935768,0.11059369146823883,-0.34333109855651855,-0.9326804280281067,0.08078204095363617,0.009117841720581055,0.05180579423904419,0.9830260320284723,0.1746297125608,0.056251660957409855,-2.821116022724352e-19
1681143719898539300,0.211539306640625,-0.07988350093364716,0.20397761464118958,0.05869314819574356,0.11217960715293884,-0.34308484196662903,-0.9325816631317139,0.09167782217264175,-0.00925588607788086,0.06838488578796387,0.9830007957192742,0.17448322765961838,0.05713826202922736,0.00044219152587360934
1681143719908598500,0.2215986328125,-0.15762338042259216,0.22996708750724792,0.09338832646608353,0.11393682658672333,-0.3422468900680542,-0.9326764941215515,0.10034234821796417,-0.0300370454788208,0.09403818845748901,0.983024444941524,0.1740172202049093,0.058135691940881695,0.0010366330510477738
1681143719918657300,0.2316572265625,-0.23055484890937805,0.2473985254764557,0.15118931233882904,0.11572127789258957,-0.34073367714881897,-0.9330108165740967,0.09343094378709793,-0.05240905284881592,0.10888361930847168,0.9831082396422152,0.17317875645875405,0.059192206656737814,0.0019153972929381426
1681143719928715300,0.24171533203125,-0.3105015456676483,0.27903828024864197,0.20637235045433044,0.11756588518619537,-0.3385504186153412,-0.9335747957229614,0.07838748395442963,-0.06898131966590881,0.11562740802764893,0.9832486176812242,0.17196806445778517,0.06032901550624176,0.0031138219634522647
1681143719938774300,0.251774169921875,-0.33823490142822266,0.30331671237945557,0.2625586688518524,0.11952167749404907,-0.33586105704307556,-0.9342975616455078,0.07487529516220093,-0.07588213682174683,0.11407661437988281,0.9834263566591934,0.17047107350689514,0.061569755510695504,0.004625300918527174
1681143719948832300,0.261832275390625,-0.35351285338401794,0.32290688157081604,0.324632465839386,0.12149341404438019,-0.3329431712627411,-0.935087263584137,0.07696239650249481,-0.0713842511177063,0.10201841592788696,0.9836167710925601,0.16883157035777224,0.06286705374330147,0.00645839557290641
1681143719958891300,0.271891357421875,-0.3512430489063263,0.34310001134872437,0.36737725138664246,0.12349920719861984,-0.33001676201820374,-0.9358615875244141,0.07982415705919266,-0.05851781368255615,0.07439613342285156,0.9837973517060504,0.16716585911661003,0.06422450298969114,0.008580048221796168
1681143719968949200,0.28194921875,-0.3529660999774933,0.3445349335670471,0.3840459883213043,0.1255151331424713,-0.3271423280239105,-0.9366022944450378,0.08679565787315369,-0.03430786728858948,0.04471081495285034,0.9839631568835912,0.16551386383727376,0.06560501174402446,0.01084712357563725
1681143719979008300,0.29200830078125,-0.34872767329216003,0.3414911925792694,0.38471364974975586,0.1275082677602768,-0.32429319620132446,-0.9373236298561096,0.0919283777475357,-0.017869889736175537,0.00940614938735962,0.9841183654535087,0.16386837648112781,0.06697271454724035,0.013150463042153457
1681143719989066200,0.302066162109375,-0.3579198122024536,0.3401314616203308,0.3627067804336548,0.1295308917760849,-0.3214406669139862,-0.9380285739898682,0.0912027508020401,-0.008027106523513794,-0.02123039960861206,0.9842648034778189,0.16222033147489046,0.0683393326710095,0.015402226432296972
1681143719999125200,0.312125244140625,-0.36470475792884827,0.33552658557891846,0.3227127492427826,0.13163994252681732,-0.3184184730052948,-0.9387654662132263,0.08448554575443268,-0.006731092929840088,-0.04844766855239868,0.9844168946266648,0.16049011270897895,0.06971501672415512,0.017500551871070955
1681143720009184300,0.322184326171875,-0.3473678529262543,0.32421162724494934,0.28068435192108154,0.13382741808891296,-0.31542497873306274,-0.9394664764404297,0.08277107775211334,-0.004963785409927368,-0.06540101766586304,0.9845595842351385,0.15878671084911716,0.07108824425073976,0.01937757487124637
1681143720019242200,0.3322421875,-0.3344101905822754,0.31228646636009216,0.2387300282716751,0.1360543668270111,-0.31251803040504456,-0.9401178956031799,0.0897146612405777,-0.006756871938705444,-0.07088363170623779,0.9846909513006418,0.15714044526938614,0.0724425432915047,0.021040609623762415
