time,seconds_elapsed,bpm
1681409988947384800,5.681384765625,105
1681409993947384800,10.681384765625,97
1681409998947384800,15.681384765625,96
1681410003947385000,20.681385009765624,100
1681410008947384800,25.681384765625,103
1681410009947385000,26.681385009765624,104
1681410018947384800,35.681384765625,102
1681410019947384800,36.681384765625,101
1681410028947384800,45.681384765625,96
1681410029947384800,46.681384765625,96
1681410038947384800,55.681384765625,97
1681410041947384800,58.681384765625,96
1681410046947385000,63.68138500976563,98
1681410049947384800,66.681384765625,99
1681410056947384800,73.681384765625,101
