time,seconds_elapsed,bpm
1681567767582460400,4.52946044921875,81
1681567773582460200,10.529460205078125,81
1681567778582460400,15.52946044921875,81
1681567783582460400,20.52946044921875,84
1681567788582460400,25.52946044921875,84
1681567789582460400,26.52946044921875,85
1681567794582460200,31.529460205078124,86
1681567801582460400,38.52946044921875,90
1681567804582460400,41.52946044921875,94
1681567813582460400,50.52946044921875,81
1681567818582460400,55.52946044921875,74
1681567823582460200,60.529460205078124,74
