time,seconds_elapsed,z,y,x
1681506760388861200,0.029861083984375,0.3718032681137323,0.14856442157030106,-0.24826496858727184
1681506760398878200,0.039878173828125,0.469205657723546,0.02204699663519859,-0.19103008298650384
1681506760408894000,0.04989404296875,0.44064533367156977,-0.13344839324206112,-0.09416830305941402
1681506760418910200,0.05991015625,0.8405909926861524,-0.06544979277104139,0.15612230787025763
1681506760428926200,0.06992626953125,0.12096563602685928,-0.05140373176187277,0.24048408718639983
1681506760438942200,0.079942138671875,-0.6520464429050684,-0.07155570843070745,0.29668106284048407
1681506760448959200,0.089959228515625,-1.0090320811152458,-0.04681465040594339,0.4931502316083759
1681506760458975000,0.09997509765625,-0.8227572298318148,0.09055354662835598,0.461482991049625
1681506760468991000,0.109990966796875,-0.30477555850148197,0.06805149970203637,0.36668903037253764
1681506760479007200,0.12000732421875,-0.21112404585778713,-0.23122838399261234,-0.08380942439669743
1681506760489023200,0.130023193359375,0.18780220698118208,-0.16110241610407827,-0.42637967509496955
1681506760499039200,0.140039306640625,0.702943101927638,0.01987286746650934,-0.41062838107049465
1681506760509056000,0.150055908203125,0.7327724230021238,0.8479352179691195,-1.0547260569281875
1681506760519072000,0.160072021484375,0.5308107577651738,0.501153286126256,-0.5620334328942
1681506760529088300,0.170088134765625,0.46128246350884433,-0.22565292194783687,-0.21816563493236898
1681506760539104300,0.180104248046875,0.06972235552370548,-0.4576666110992431,0.20127054116763174
1681506760549120300,0.190120361328125,0.20989771893322468,-0.34462504606992006,0.31509540206175296
1681506760559137000,0.200136962890625,0.46784839789569377,-0.14677607684880495,0.22038115555737167
1681506760569153000,0.210153076171875,0.5984767652809619,-0.05647708950340748,0.26635237740911544
1681506760579169000,0.2201689453125,0.7138543720424175,-0.057415539397299285,0.37954219180271026
1681506760589185300,0.230185302734375,0.722339291793108,-0.0457379610851407,0.40476464013624935
1681506760599201300,0.240201171875,0.7836988926410675,0.1548322497934103,0.1541700960902497
1681506760609217300,0.25021728515625,0.6532365294724702,0.4684156763896346,-0.14651581847742198
1681506760619234000,0.260234130859375,0.7640607107132673,0.4730906824633479,-0.10902714175619184
1681506760629250000,0.27025,1.0917360832870007,-0.31867782712578774,0.3078784929528832
1681506760639266300,0.280266357421875,1.1790373501211404,-0.705979400883615,0.3993258466158062
1681506760649282300,0.2902822265625,0.6790905171751975,-1.095452181200683,0.9180482533108443
1681506760659298300,0.30029833984375,0.30815760215520854,-0.8136296282634139,1.3150142389275132
1681506760669315000,0.310315185546875,-0.04627309087514877,-0.1317766606375575,1.2553541354738176
1681506760679331000,0.3203310546875,-0.39392683711647986,0.27431816865652797,1.0303010791152716
1681506760689347300,0.330347412109375,-0.5293570518255234,0.1877943159356713,0.8520686645120382
1681506760699363300,0.34036328125,-0.6581652180463076,-0.05251490787416696,0.7393860689882189
1681506760709379000,0.350379150390625,-0.7067857488304377,-0.13468348799496888,0.5902203205239027
1681506760719395000,0.36039501953125,-0.47027124112844465,-0.14648703077435493,0.4889773298379034
1681506760729412000,0.370412109375,-0.1442477274149656,-0.24083617029339074,0.5747265083918348
1681506760739428000,0.380427978515625,0.04658405652046203,-0.25382424668222664,0.6135676591679453
1681506760749444400,0.3904443359375,-0.04214519729018211,-0.47134939175397156,0.541834548343718
1681506760759460000,0.400460205078125,-0.07415303144752979,-0.624806846062839,0.3367510978244245
1681506760769476000,0.41047607421875,0.0704535924077034,-0.3700467798352241,0.11626228064149617
1681506760779492000,0.4204921875,0.08270575573742389,-0.09869067585468291,0.015914777490496634
1681506760789509000,0.430509033203125,0.03616261574923992,-0.041864334522187706,0.11041381947477348
1681506760799525400,0.440525390625,-0.23665011678040027,-0.052613399812579155,0.40435423270445314
1681506760809541000,0.450541015625,-0.7951637049853801,-0.11633651492148638,0.561790089125
1681506760819557000,0.46055712890625,-1.2648194445639849,-0.24111323366910217,0.47253823621235785
1681506760829573000,0.470572998046875,-1.1861655945658682,-0.2364870351731777,0.4192336027326062
1681506760839590100,0.480590087890625,-0.6111971306443214,-0.031135142976045607,0.5005643437897787
1681506760849606100,0.490606201171875,-0.1264192252576351,0.17966624679863452,0.5505069169579073
1681506760859622100,0.5006220703125,0.014914076015353201,0.18067717740684747,0.5110929347299039
1681506760869638100,0.51063818359375,0.050180619707703586,0.22751287060081957,0.39132173265200104
1681506760879654100,0.520654052734375,0.0374748673915863,0.37231910868138074,0.27914131449665874
1681506760889670100,0.530670166015625,-0.1159369942098856,0.43428573551177974,0.37197577513642605
1681506760899687200,0.540687255859375,-0.22261691525280475,0.4834115854695439,0.41693318030312654
1681506760909703200,0.550703125,-0.2526227619379759,0.4991410695210099,0.39682690593954173
1681506760919719200,0.56071923828125,-0.2580506322056055,0.46323388983756303,0.32411588999386876
1681506760929735200,0.570735107421875,-0.1179974338710308,0.4020511068612337,0.06595807108674198
1681506760939751200,0.580751220703125,0.10921908413171767,0.1405988495185971,-0.25278189802244305
1681506760949767200,0.59076708984375,0.15262158800661563,-0.11730448317080736,-0.4990844074303284
1681506760959784000,0.600783935546875,0.06509995642006397,-0.10272884532958268,-0.7209658114828169
1681506760969800200,0.61080029296875,-0.2521715110391378,0.1454986042588949,-0.7595221174355596
1681506760979816200,0.620816162109375,-0.567135286077857,0.39049218649268147,-0.6227276286359876
1681506760989832200,0.630832275390625,-0.6600111381739378,0.6026385611355304,-0.3390179102452472
1681506760999848200,0.64084814453125,-0.6930956616520881,0.7615241779729723,-0.06202800162881612
1681506761009865000,0.650864990234375,-0.7508715587943792,0.805471748510003,0.20924009527470916
