time,seconds_elapsed,relativeAltitude,pressure
1681247651404778000,-0.547221923828125,0,996.2002563476562
1681247652406762000,0.454761962890625,0.066070556640625,996.192626953125
1681247653408775000,1.45677490234375,0.129486083984375,996.1849975585938
1681247654410615000,2.458614990234375,0.192901611328125,996.1775970458984
1681247655414403000,3.462403076171875,0.2166748046875,996.1746215820312
1681247656419543000,4.46754296875,0.3276519775390625,996.1616516113281
1681247656967420000,5.015419921875,0.44390869140625,996.1476898193359
1681247657969143000,6.01714306640625,0.5813140869140625,996.131591796875
1681247658971014100,7.01901416015625,0.782135009765625,996.1075592041016
1681247659973975800,8.021975830078125,1.0701446533203125,996.0734558105469
1681247660980326000,9.028325927734375,1.3555145263671875,996.0395812988281
1681247661982824000,10.030823974609374,1.6778717041015625,996.0016632080078
1681247662984723000,11.032722900390626,1.92889404296875,995.9718322753906
1681247663986446800,12.03444677734375,2.177276611328125,995.9424591064453
1681247664988287000,13.036286865234375,2.3384552001953125,995.9233856201172
1681247665992128800,14.040128662109375,2.5102081298828125,995.9029388427734
1681247666998519000,15.04651904296875,2.6555328369140625,995.8856201171875
1681247668000448000,16.048447998046875,2.8537139892578125,995.8622741699219
1681247669002395000,17.050394775390625,3.04132080078125,995.8400726318359
1681247670004418800,18.052418701171874,3.3055419921875,995.8087921142578
1681247671006226200,19.05422607421875,3.522216796875,995.7829284667969
1681247672010369000,20.058369140625,3.7018890380859375,995.7617950439453
1681247673015811000,21.06381103515625,3.7970123291015625,995.7506561279297
1681247674017621000,22.06562109375,3.92913818359375,995.7349395751953
1681247675019808000,23.06780810546875,4.0321807861328125,995.7225799560547
1681247676021971000,24.069970947265624,4.2118682861328125,995.7012176513672
1681247677023720000,25.071719970703125,4.39947509765625,995.6793212890625
1681247678028663800,26.076663818359375,4.6240692138671875,995.6526184082031
1681247679033159000,27.081158935546874,4.85394287109375,995.6254577636719
1681247680035239000,28.083239013671875,5.0494842529296875,995.6021118164062
1681247681037154800,29.08515478515625,5.165740966796875,995.5883026123047
1681247682039093000,30.087093017578123,5.300506591796875,995.5723571777344
1681247683040776000,31.08877587890625,5.4748992919921875,995.5518341064453
1681247684047041800,32.095041748046874,5.65985107421875,995.5299377441406
1681247685050122000,33.0981220703125,5.836883544921875,995.5088043212891
1681247686052270800,34.100270751953126,6.0958404541015625,995.4781341552734
1681247687054078000,35.102077880859376,6.3732757568359375,995.4453277587891
1681247688055685000,36.10368505859375,6.6348724365234375,995.4142761230469
1681247689057663000,37.1056630859375,6.9255218505859375,995.3800964355469
1681247690059441000,38.10744091796875,7.221466064453125,995.3448486328125
1681247691061233200,39.109233154296874,7.448699951171875,995.3181457519531
1681247692063222000,40.111221923828126,7.646881103515625,995.2946472167969
1681247693064967000,41.112966796875,7.86090087890625,995.2693939208984
1681247694067193000,42.115193115234376,8.045867919921875,995.2472686767578
1681247695069000000,43.117,8.207046508789062,995.2281951904297
1681247696070943700,44.11894384765625,8.450149536132812,995.1995086669922
1681247697072727000,45.12072705078125,8.717025756835938,995.1679229736328
1681247698074759000,46.122759033203124,8.949539184570312,995.140380859375
1681247699076925000,47.124925048828125,9.150360107421875,995.1165771484375
1681247700078861800,48.12686181640625,9.295684814453125,995.0991821289062
1681247701081908000,49.129907958984376,9.401382446289062,995.0868225097656
1681247702083691000,50.13169091796875,9.501785278320312,995.0749969482422
1681247703085673000,51.1336728515625,9.6339111328125,995.0592041015625
1681247704087412000,52.135411865234374,9.82415771484375,995.0368499755859
1681247705089241000,53.137240966796874,10.048751831054688,995.0100708007812
1681247706091121000,54.13912084960938,10.307693481445312,994.9795532226562
1681247707093673000,55.1416728515625,10.598358154296875,994.9451446533203
1681247708095599900,56.143599853515624,10.886367797851562,994.9111938476562
1681247709097283800,57.14528393554688,11.081893920898438,994.8880004882812
