,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionX,quaternionY,quaternionZ
0,3.0,-2.562121379386808,-1.4000250470775362,0.10394352694657488,0.6585145710068129,0.7255386665171311,-0.19984173552215023,-1.6328724227923337,-0.2207888501175747,-0.2847341681345147,-0.6296502135384876,0.06003636153724455,0.4637504044769837
1,3.01,-2.597457657656227,-1.3099851502650837,-0.1322642437655076,0.6557348155779168,0.7307245879837826,-0.18982992713291946,-1.7122110281063478,-0.25793506043652964,-0.3801480115331712,-0.6345054300347258,0.0497236239160124,0.4687084889898172
2,3.0199999999999996,-2.2086985199683355,-1.1706022172322332,-0.3322156538677448,0.6516981683947962,0.7367665783458504,-0.18014075071223512,-1.7694851912907317,-0.3057356991688707,-0.42910768198926197,-0.6390311270226037,0.03946060684940166,0.472501294800325
3,3.0299999999999994,-1.5453262487397874,-0.9837882151449047,-0.5191881224338278,0.6465934613122959,0.7428911983370194,-0.17326039915751634,-1.789799956724165,-0.33297038593882655,-0.433982691902204,-0.6422158810386235,0.0303503543064333,0.47500988520450177
4,3.039999999999999,-0.7887810760130815,-0.7415042967532164,-0.7151643083126206,0.6402948173031531,0.7490005999117398,-0.1703251006260011,-1.7744307686753535,-0.30067592130927645,-0.40474408909505055,-0.6436685904973449,0.02289895251357349,0.4760783088011372
5,3.049999999999999,-0.06791629598510006,-0.465408700654696,-0.8815361184957382,0.633212542193951,0.7548374534657311,-0.17102617950527124,-1.7292929926566138,-0.23134791317292958,-0.38673332625251056,-0.6435675821638621,0.017488788735474454,0.4756686146109623
6,3.0599999999999987,0.5536137354586986,-0.18043512977426257,-1.0414257790092245,0.6253652420724121,0.7604405393092487,-0.17501904013400954,-1.66489559666978,-0.19621552158605846,-0.3625850134461621,-0.6421001554907262,0.014025077805463214,0.47380896889144575
7,3.0699999999999985,1.0136235708771766,0.09030150628947195,-1.2710857674427758,0.6164970725549948,0.7661702864416114,-0.18135664214504862,-1.5863833719493383,-0.19997755666796357,-0.3393357240685743,-0.6396677252936005,0.012068447190392403,0.4704208047205811
8,3.0799999999999983,1.3650288379551851,0.3251618152061797,-1.5671493490005697,0.6059790072486874,0.7726116186808043,-0.18927910997152,-1.5117978727947763,-0.20599655933653427,-0.31768480712180686,-0.6365832864827551,0.010982758987669561,0.4653507078401096
9,3.089999999999998,1.6355331279694365,0.525125395720772,-1.9274420672385022,0.5932584312349305,0.7801471979619976,-0.1984127954500947,-1.434473676244272,-0.1886676226283666,-0.27795460652119647,-0.6329984028560246,0.010232713225021712,0.45852321689015646
10,3.099999999999998,1.8889085518911817,0.7225777585755606,-2.290828662651851,0.5779353913168722,0.788931392132688,-0.20860548067218065,-1.3284646933445945,-0.12505889070597856,-0.2581660752643044,-0.628970645656858,0.009526298191272028,0.449820015674827
11,3.1099999999999977,2.1801644340042174,0.8725480341457014,-2.6044741693832907,0.5601892575765369,0.7985203600747703,-0.22016982403725063,-1.1969535078587605,-0.023613551036750308,-0.21332256465718855,-0.6243654199932731,0.008916495600232876,0.4393742470373067
12,3.1199999999999974,2.479896664220667,0.9584827866146993,-2.919900605595882,0.5400954984247309,0.8084068020244956,-0.23382536591354727,-1.074302513988647,0.04700086922858407,-0.14215060185548895,-0.6188795882297071,0.008390624998871356,0.42740142661172775
13,3.1299999999999972,2.701144078556764,0.9759017357795068,-3.239079042204943,0.5173465979236422,0.8183972158685539,-0.24991287394261474,-0.9668819688197421,0.11898905158303548,-0.03845151847919132,-0.6123558119961523,0.007598390059224554,0.4140515146370844
14,3.139999999999997,2.6686455590491067,0.9584273044297907,-3.5245680240170882,0.4919769676768219,0.8284884679509815,-0.2672600287082119,-0.8237941204164886,0.2891628383666876,0.0445490979977292,-0.605248737055749,0.006092500545928014,0.3994805540302624
15,3.149999999999997,2.5826544456234726,0.921035725869759,-3.67605478388889,0.4644178240671384,0.8385340864748144,-0.28466642689546023,-0.6198770090654048,0.5287051296576175,0.10607117104436757,-0.5980353871637403,0.003621704875599127,0.3840116677190291
16,3.1599999999999966,2.5721440094268546,0.9031832457019858,-3.6286220215927605,0.43618347202036145,0.847501861925688,-0.30224030354208864,-0.43378632654441796,0.8192976235363779,0.15062056772468455,-0.5906532770496637,0.0007840928196282356,0.36826824173446493
17,3.1699999999999964,2.6055302328896053,0.7663738548000365,-3.407412793254531,0.40879187308019993,0.8543503048131225,-0.3206919308868164,-0.2143633520755795,1.3272892308884343,0.13491070942840308,-0.5827874535235295,-0.0018214070022914575,0.3529919221044262
18,3.179999999999996,2.4793986266014896,0.38041400443776663,-3.308024800382497,0.38212610722986157,0.8590835909126311,-0.3403164423070776,0.13078700064203622,2.0683312898033552,0.02799482151756217,-0.5742878332225497,-0.004893074213027858,0.33903309608931265
19,3.189999999999996,1.9896100498739064,0.02100375367454691,-3.4928640886208355,0.35359834472184437,0.8636447060853217,-0.3590766174311221,0.453102749190173,2.7289324353912536,-0.14890202792587492,-0.5659924844062955,-0.010074295342542025,0.3258453332144571
20,3.1999999999999957,1.2515474336689751,-0.2026873779249733,-3.8768179118631463,0.32135725498666645,0.8700896840309689,-0.37349151785019374,0.78978348942448,3.2325179849284176,-0.2892451554362212,-0.5593805306930443,-0.018199927467168975,0.312224258551882
21,3.2099999999999955,0.7747031518730716,-0.3456223549780566,-4.286328295197075,0.2844122854925805,0.8787667576846817,-0.38297446626146764,1.3862490172681479,3.529831671134992,-0.25363060731616366,-0.554652092142827,-0.029200380827953752,0.29728043150672784
