time,seconds_elapsed,bpm
1681569290710188500,2.2551884765625,106
1681569292710188300,4.255188232421875,105
1681569300710188300,12.255188232421874,115
1681569301710188500,13.2551884765625,116
1681569310710188300,22.255188232421876,129
1681569315710188300,27.255188232421876,132
1681569316710188300,28.255188232421876,133
1681569325710188300,37.25518823242187,140
1681569330710188500,42.2551884765625,142
1681569334710188300,46.25518823242187,145
1681569337710188300,49.25518823242187,145
1681569344710188500,56.2551884765625,150
1681569349710188300,61.25518823242187,153
