time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1681410926716922400,0.06692236328125,-0.11915324628353119,0.06766441464424133,-0.24825245141983032,0.1169838234782219,-0.15872110426425934,-0.9803684949874878,-0.10491404682397842,-0.058457329869270325,-0.02025705575942993,0.9950799723340434,0.07975294144137446,0.05878111585588858,4.212333558748303e-17
1681410926726899500,0.0768994140625,-0.02547309175133705,0.03951852768659592,-0.2603626251220703,0.11792146414518356,-0.157667338848114,-0.9804261922836304,-0.082215815782547,-0.015352174639701843,-0.051754534244537354,0.9950937238616417,0.07929312800407927,0.05915657321360442,-0.0011904772448824044
1681410926736875300,0.086875244140625,0.049459341913461685,0.0059620048850774765,-0.26708984375,0.11854804307222366,-0.15753157436847687,-0.9803724884986877,-0.0538354367017746,0.0011441409587860107,-0.07843488454818726,0.9950778774130554,0.07930565821863347,0.05936649573886841,-0.0025185495267661907
1681410926746852000,0.09685205078125,0.09429392218589783,-0.007423042319715023,-0.26393425464630127,0.1189439669251442,-0.15787135064601898,-0.9802698493003845,-0.048234663903713226,-0.03928755223751068,-0.0768742561340332,0.9950478365417565,0.07955882832903825,0.05945980836786358,-0.003854137691739549
1681410926756828400,0.106828369140625,0.19541794061660767,0.022474616765975952,-0.2548636496067047,0.1193917989730835,-0.15898393094539642,-0.9800355434417725,-0.04958275705575943,-0.07458245754241943,-0.06444376707077026,0.9949828354439517,0.08020307014064063,0.05957924572259333,-0.005181497177705747
1681410926766805200,0.11680517578125,0.2467421144247055,0.018516359850764275,-0.2821759581565857,0.12004807591438293,-0.16081450879573822,-0.9796566367149353,-0.06514687091112137,-0.10076701641082764,-0.04382658004760742,0.9948795660197773,0.08121502131032846,0.059797948934184435,-0.006553959770785238
1681410926776781300,0.12678125,0.2824114263057709,-0.029021862894296646,-0.28375735878944397,0.12046964466571808,-0.1630409210920334,-0.9792367815971375,-0.06939839571714401,-0.10241633653640747,-0.03898215293884277,0.9947628955522685,0.08243573475573918,0.05988276865038712,-0.008074983313383093
1681410926786759700,0.136759765625,0.3070475459098816,-0.008341619744896889,-0.3038399815559387,0.12073980271816254,-0.1655753254890442,-0.9787781834602356,-0.055386364459991455,-0.08636258542537689,-0.0035826563835144043,0.9946805376985058,0.08323040310504877,0.06069275309141821,2.0077857223479122e-17
1681410926796736800,0.14673681640625,0.3640211820602417,0.02915361151099205,-0.3558637201786041,0.12137152999639511,-0.16845060884952545,-0.9782092571258545,-0.028857462108135223,-0.10109592974185944,0.007643520832061768,0.9945359811943871,0.08479462889915149,0.06087069996018271,-0.001741448413466163
1681410926806712600,0.156712646484375,0.38817474246025085,0.03957695886492729,-0.38139569759368896,0.12234872579574585,-0.1717527061700821,-0.9775130748748779,-0.033420465886592865,-0.11769132316112518,-0.00579380989074707,0.9943556199519529,0.0865902860644979,0.061201204035887864,-0.003679435186968255
1681410926816689700,0.166689697265625,0.28801649808883667,0.02292245253920555,-0.3763129711151123,0.12332706153392792,-0.17461957037448883,-0.9768819808959961,-0.022557973861694336,-0.09695640206336975,-0.01933377981185913,0.9941876223026103,0.08817101945357372,0.06152129067035133,-0.005668796297064946
1681410926826665700,0.176665771484375,0.12239503115415573,0.020763162523508072,-0.3577193021774292,0.12416248023509979,-0.17614153027534485,-0.9765028953552246,0.008421182632446289,-0.08234240114688873,-0.01844644546508789,0.9940799069856247,0.0890635385589237,0.06177582534899777,-0.007535446149897906
1681410926836642800,0.186642822265625,0.005358690395951271,0.00327077554538846,-0.35746124386787415,0.12492045015096664,-0.17625945806503296,-0.9763849377632141,0.025226078927516937,-0.10216772556304932,-0.02158564329147339,0.9940348451503217,0.08924144564867233,0.06199603931364978,-0.00934544265602058
1681410926846618600,0.19661865234375,-0.06604757905006409,0.0228617861866951,-0.27632057666778564,0.12558552622795105,-0.17556844651699066,-0.9764240980148315,0.03188522160053253,-0.09764023125171661,-0.04087936878204346,0.994028671209049,0.08899453966180712,0.06219266086842927,-0.010916134696800259
1681410926856594700,0.2065947265625,-0.12149886041879654,0.020679008215665817,-0.18352247774600983,0.12619708478450775,-0.17433367669582367,-0.9765664935112,0.05790024995803833,-0.06065171957015991,-0.07239896059036255,0.9940517302507763,0.08844292697644113,0.06240684709495591,-0.012018008383112599
1681410926866571800,0.21657177734375,-0.14516210556030273,0.019694169983267784,-0.06268340349197388,0.1266099363565445,-0.17287930846214294,-0.9767715334892273,0.09035483002662659,-0.029162362217903137,-0.08813929557800293,0.9940962451028135,0.08774539229008191,0.06256970760207789,-0.012589357405218222
1681410926876547600,0.226547607421875,-0.13274236023426056,0.038309238851070404,0.05995634198188782,0.12687204778194427,-0.17147105932235718,-0.97698575258255,0.1078844666481018,-0.01847037672996521,-0.07597744464874268,0.9941509364050084,0.0870301524828243,0.06271264160274706,-0.012526588101607578
1681410926886524700,0.236524658203125,-0.12812656164169312,0.05789066478610039,0.16875578463077545,0.12714435160160065,-0.170341357588768,-0.9771479368209839,0.12152817845344543,-0.003776729106903076,-0.07630354166030884,0.9941994870508696,0.08642042662323346,0.0629088863331978,-0.011897603148698553
1681410926896500500,0.24650048828125,-0.10412959009408951,0.07646147906780243,0.2755014896392822,0.1274174004793167,-0.1694885492324829,-0.9772607088088989,0.11921043694019318,0.018258631229400635,-0.07394778728485107,0.9942412296463926,0.08591630253675855,0.06315097384582627,-0.010724407774716723
