time,seconds_elapsed,batteryLevel,batteryState,lowPowerMode
1681569605103000000,1.016,0.9599999785423279,unplugged,false
1681569606112000000,2.025,0.9599999785423279,unplugged,false
1681569607116000000,3.029,0.9599999785423279,unplugged,false
1681569608129000000,4.042,0.9599999785423279,unplugged,false
1681569609133000000,5.046,0.9599999785423279,unplugged,false
1681569610145000000,6.058,0.9599999785423279,unplugged,false
1681569611145000000,7.058,0.9599999785423279,unplugged,false
1681569612146000000,8.058999755859375,0.9599999785423279,unplugged,false
1681569613166000000,9.079000244140625,0.9599999785423279,unplugged,false
1681569614179000000,10.092,0.9599999785423279,unplugged,false
1681569615196000000,11.109,0.9599999785423279,unplugged,false
1681569616196000000,12.109,0.9599999785423279,unplugged,false
1681569617198000000,13.111000244140625,0.9599999785423279,unplugged,false
1681569618200000000,14.113,0.9599999785423279,unplugged,false
1681569619203000000,15.116,0.9599999785423279,unplugged,false
1681569620215000000,16.128,0.9599999785423279,unplugged,false
1681569621221000000,17.134,0.9599999785423279,unplugged,false
1681569622229000000,18.142,0.9599999785423279,unplugged,false
1681569623237000000,19.15,0.9599999785423279,unplugged,false
1681569624232000000,20.145,0.9599999785423279,unplugged,false
1681569625248000000,21.161,0.9599999785423279,unplugged,false
1681569626253000000,22.166,0.9599999785423279,unplugged,false
1681569627269000000,23.182,0.9599999785423279,unplugged,false
1681569628271000000,24.184,0.9599999785423279,unplugged,false
1681569629282000000,25.194999755859374,0.9599999785423279,unplugged,false
1681569630301000000,26.214,0.9599999785423279,unplugged,false
1681569631314000000,27.226999755859374,0.9599999785423279,unplugged,false
1681569632320000000,28.233,0.9599999785423279,unplugged,false
1681569633330000000,29.242999755859376,0.9599999785423279,unplugged,false
1681569634330000000,30.242999755859376,0.9599999785423279,unplugged,false
1681569635336000000,31.249,0.9599999785423279,unplugged,false
1681569636347000000,32.26,0.9599999785423279,unplugged,false
1681569637348000000,33.261,0.9599999785423279,unplugged,false
1681569638364000000,34.277,0.9599999785423279,unplugged,false
1681569639363000000,35.276,0.9599999785423279,unplugged,false
1681569640364000000,36.277,0.9599999785423279,unplugged,false
1681569641366000000,37.279000244140626,0.9599999785423279,unplugged,false
1681569642380000000,38.293,0.9599999785423279,unplugged,false
1681569643387000000,39.3,0.9599999785423279,unplugged,false
1681569644397000000,40.31,0.9599999785423279,unplugged,false
1681569645414000000,41.32700024414063,0.9599999785423279,unplugged,false
1681569646421000000,42.334,0.9599999785423279,unplugged,false
1681569647430000000,43.343000244140626,0.9599999785423279,unplugged,false
1681569648438000000,44.35100024414062,0.9599999785423279,unplugged,false
1681569649456000000,45.369,0.9599999785423279,unplugged,false
1681569650472000000,46.385,0.9599999785423279,unplugged,false
1681569651484000000,47.397,0.9599999785423279,unplugged,false
1681569652497000000,48.41,0.9599999785423279,unplugged,false
1681569653521000000,49.434,0.9599999785423279,unplugged,false
1681569654532000000,50.445,0.949999988079071,unplugged,false
1681569655548000000,51.461,0.949999988079071,unplugged,false
1681569656568000000,52.481,0.949999988079071,unplugged,false
1681569657564000000,53.477,0.949999988079071,unplugged,false
1681569658565000000,54.478,0.949999988079071,unplugged,false
1681569659583000000,55.496,0.949999988079071,unplugged,false
1681569660598000000,56.511000244140625,0.949999988079071,unplugged,false
1681569661622000000,57.535000244140626,0.949999988079071,unplugged,false
1681569662616000000,58.529,0.949999988079071,unplugged,false
1681569663639000000,59.552,0.949999988079071,unplugged,false
1681569664655000000,60.568,0.949999988079071,unplugged,false
1681569665668000000,61.581,0.949999988079071,unplugged,false
1681569666681000000,62.594,0.949999988079071,unplugged,false
1681569667684000000,63.597,0.949999988079071,unplugged,false
