,seconds_elapsed,pressure,relativeAltitude
0,4.0,985.5494185270728,-0.23490584893205696
1,4.01,985.5496249039634,-0.23545974413879983
2,4.02,985.5498312808539,-0.2360136393455427
3,4.029999999999999,985.5500376577445,-0.23656753455228555
4,4.039999999999999,985.550244034635,-0.23712142975902842
5,4.049999999999999,985.5504504115256,-0.23767532496577126
6,4.059999999999999,985.5506567884162,-0.23822922017251413
7,4.0699999999999985,985.5508631653067,-0.238783115379257
8,4.079999999999998,985.5510695421973,-0.23933701058599985
9,4.089999999999998,985.5512759190879,-0.2398909057927427
10,4.099999999999998,985.5514822959784,-0.24044480099948556
11,4.109999999999998,985.551688672869,-0.24099869620622844
12,4.119999999999997,985.5518950497595,-0.24155259141297128
13,4.129999999999997,985.5521014266501,-0.24210648661971415
14,4.139999999999997,985.5523078035407,-0.242660381826457
15,4.149999999999997,985.5525141804312,-0.24321427703319987
16,4.159999999999997,985.5527205573218,-0.24376817223994274
17,4.169999999999996,985.5529269342123,-0.24432206744668558
18,4.179999999999996,985.5531333111029,-0.24487596265342843
19,4.189999999999996,985.5533396879935,-0.2454298578601713
20,4.199999999999996,985.5535460648841,-0.24598375306691417
21,4.2099999999999955,985.5537524417747,-0.246537648273657
22,4.219999999999995,985.5539588186653,-0.24709154348039988
23,4.229999999999995,985.5541651955558,-0.24764543868714273
24,4.239999999999995,985.5543715724464,-0.2481993338938856
25,4.249999999999995,985.5545779493369,-0.24875322910062847
26,4.2599999999999945,985.5547843262275,-0.24930712430737131
27,4.269999999999994,985.554990703118,-0.24986101951411416
28,4.279999999999994,985.5551970800086,-0.25041491472085703
29,4.289999999999994,985.5554034568992,-0.2509688099275999
30,4.299999999999994,985.5556098337897,-0.25152270513434277
31,4.309999999999993,985.5558162106803,-0.2520766003410856
32,4.319999999999993,985.5560225875709,-0.25263049554782846
33,4.329999999999993,985.5562289644614,-0.25318439075457133
34,4.339999999999993,985.556435341352,-0.2537382859613142
35,4.3499999999999925,985.5566417182425,-0.2542921811680571
36,4.359999999999992,985.5568480951331,-0.2548460763747999
37,4.369999999999992,985.5570544720237,-0.25539997158154276
38,4.379999999999992,985.5572608489142,-0.25595386678828563
39,4.389999999999992,985.5574672258049,-0.2565077619950285
40,4.3999999999999915,985.5576736026954,-0.2570616572017713
41,4.409999999999991,985.557879979586,-0.2576155524085142
42,4.419999999999991,985.5580863564766,-0.25816944761525706
43,4.429999999999991,985.5582927333671,-0.25872334282199994
44,4.439999999999991,985.5584991102577,-0.25933830146020914
45,4.44999999999999,985.5587054871482,-0.25999778422828546
46,4.45999999999999,985.5589118640388,-0.26065726699636177
47,4.46999999999999,985.5589294433594,-0.2613167497644381
48,4.47999999999999,985.5589294433594,-0.26197623253251434
49,4.4899999999999896,985.5589294433594,-0.26263571530059066
50,4.499999999999989,985.5589294433594,-0.26329519806866697
51,4.509999999999989,985.5589294433594,-0.2639546808367433
52,4.519999999999989,985.5589294433594,-0.2646141636048196
53,4.529999999999989,985.5589294433594,-0.26527364637289585
54,4.5399999999999885,985.5589294433594,-0.26593312914097217
55,4.549999999999988,985.5589294433594,-0.2665926119090485
56,4.559999999999988,985.5589294433594,-0.2672520946771248
57,4.569999999999988,985.5589294433594,-0.2679115774452011
58,4.579999999999988,985.5589294433594,-0.26857106021327737
59,4.589999999999987,985.5589294433594,-0.2692305429813537
60,4.599999999999987,985.5589294433594,-0.26989002574943
61,4.609999999999987,985.5589294433594,-0.2705495085175063
62,4.619999999999987,985.5589294433594,-0.2712089912855826
63,4.629999999999987,985.5589294433594,-0.27186847405365894
64,4.639999999999986,985.5589294433594,-0.2725279568217352
65,4.649999999999986,985.5589294433594,-0.2731874395898115
66,4.659999999999986,985.5589294433594,-0.2738469223578878
67,4.669999999999986,985.5589294433594,-0.27450640512596414
68,4.6799999999999855,985.5589294433594,-0.27516588789404045
69,4.689999999999985,985.5589294433594,-0.2758253706621167
70,4.699999999999985,985.5589294433594,-0.276484853430193
71,4.709999999999985,985.5589294433594,-0.27714433619826934
72,4.719999999999985,985.5589294433594,-0.27780381896634565
73,4.729999999999984,985.5589294433594,-0.27846330173442196
74,4.739999999999984,985.5589294433594,-0.2791227845024982
75,4.749999999999984,985.5589294433594,-0.27978226727057454
76,4.759999999999984,985.5589294433594,-0.28044175003865085
77,4.769999999999984,985.5589294433594,-0.28110123280672716
78,4.779999999999983,985.5589294433594,-0.2817607155748035
79,4.789999999999983,985.5589294433594,-0.2824201983428798
80,4.799999999999983,985.5589294433594,-0.28307968111095605
81,4.809999999999983,985.5589294433594,-0.28373916387903236
82,4.8199999999999825,985.5589294433594,-0.2843986466471087
83,4.829999999999982,985.5589294433594,-0.285058129415185
84,4.839999999999982,985.5589294433594,-0.2857176121832613
85,4.849999999999982,985.5589294433594,-0.28637709495133756
86,4.859999999999982,985.5589294433594,-0.2870365777194139
87,4.8699999999999815,985.5589294433594,-0.2876960604874902
88,4.879999999999981,985.5589294433594,-0.2883555432555665
89,4.889999999999981,985.5589294433594,-0.2890150260236428
90,4.899999999999981,985.5589294433594,-0.2896745087917191
91,4.909999999999981,985.5589294433594,-0.2903339915597954
92,4.91999999999998,985.5589294433594,-0.2909934743278717
93,4.92999999999998,985.5589294433594,-0.291652957095948
94,4.93999999999998,985.5589294433594,-0.29231243986402433
95,4.94999999999998,985.5589294433594,-0.2929719226321006
96,4.9599999999999795,985.5589294433594,-0.2936314054001769
97,4.969999999999979,985.5589294433594,-0.2942908881682532
98,4.979999999999979,985.5589294433594,-0.29495037093632953
