,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
0,5.86707,0.025836281478405,2.1711089611053467,-2.315558433532715,0.0489854291081428,0.9987319707870485,-0.0116172106936573,0.4523726105690002,1.5627762079238892,0.3882501721382141,0.7087851897425801,-0.6969203038210398,0.0921601045891312,-0.0585848939301915
1,5.87707,0.08386186350323302,2.0313202047111094,-2.189123418021225,0.03531970416830715,0.9992543519045383,-0.011409396697621204,0.4833164246277153,1.4810239157209975,0.2808382046270823,0.7078382223640838,-0.6970349650497221,0.09185583954170821,-0.06794314308432686
2,5.88707,0.3870737359347831,1.8617009745357913,-1.9413077810566794,0.014850691375726432,0.9997586221863219,-0.013087971757255408,0.539217135099975,1.3565868458564225,0.17946554360040512,0.7069333007999764,-0.6964900307767309,0.09141874343437044,-0.08213297222865645
3,5.89707,0.7508272376440244,1.7474168568869684,-1.6701195833564075,-0.00291804505563644,0.999782696652591,-0.0186908349966966,0.6039099373285791,1.2131869136344817,0.1185308859234046,0.7073025259862356,-0.6944978686164823,0.091245428367205,-0.09503938411037084
4,5.90707,0.9880003277100575,1.6669730782895096,-1.4235634307215725,-0.01799776623282926,0.9994209314872325,-0.02765415583926334,0.6351300875584314,1.0153771171998747,0.05410734072551378,0.7087875782940097,-0.6912302393839161,0.09149055536117358,-0.10684738376040574
5,5.91707,1.2085277889831094,1.6436694653500639,-1.1760537130797293,-0.030471897160763057,0.9987429995539371,-0.03898149360748219,0.6068445457086983,0.79385177660441,0.044453544995518963,0.7110682101252811,-0.6870188155701579,0.09224662249322504,-0.11766944972204174
6,5.92707,1.335600888255127,1.683768129199847,-0.9188106028431182,-0.04017102829708792,0.9977874348893606,-0.052376179630398305,0.5456142359749568,0.523718989962624,0.05905240335740083,0.7140465314974339,-0.681915576934379,0.09378397294389906,-0.12767744974893655
7,5.93707,1.3127347085638237,1.7183209363109921,-0.711006032460865,-0.047221962705897874,0.9966563766174545,-0.06628709001534745,0.4711672354369397,0.1924893299090095,0.06148286528868951,0.7171837952979477,-0.6764448807926434,0.0962806700457565,-0.13700365957751956
8,5.94707,1.2611335613699437,1.7256589673255243,-0.5511935368251863,-0.05224710514333456,0.9954004058845591,-0.08000560319179809,0.38722615408101346,-0.10048305041633865,0.0906877520071365,0.7202448348609176,-0.6708945466381808,0.09943847517511534,-0.14571113293790733
9,5.95707,1.0280560331889543,1.7609540106644548,-0.3526713809467238,-0.0553043573328672,0.9941594883000447,-0.09249449983089666,0.30083808489185293,-0.32945595247420234,0.12296969657351593,0.7229033103060949,-0.6656343100475969,0.10331417570697064,-0.1537627101060759
10,5.96707,0.5334237808212454,1.8082218423382614,-0.08348628961121515,-0.055804744758432834,0.9932753012152438,-0.10138059231788252,0.2306950393807075,-0.5385193878403147,0.172839150115956,0.7244179695593937,-0.6614716685111274,0.10841908054853668,-0.1609291297268911
11,5.97707,0.0446514564184497,1.9157327441097725,0.15901987997035055,-0.053521054073753134,0.9930060222386835,-0.10522066728318469,0.19284325418363543,-0.7566501803882101,0.2596042646501762,0.7243493435327223,-0.658893608755847,0.1150488743217532,-0.16709473945622674
12,5.98707,-0.29868722368732775,2.005572004974941,0.39967521063394024,-0.04873081687400743,0.9932885204008528,-0.10485995249943365,0.18977837330874908,-1.0206534956747813,0.3339389729439703,0.7229646472149523,-0.6575582827404831,0.12316679474878922,-0.1724688315686479
13,5.99707,-0.4748964023356117,2.024949305689734,0.6650799451587717,-0.041362765102361185,0.9939324213760555,-0.10182663073329326,0.22179141460772703,-1.2807675428007286,0.3930162861389155,0.7208335303286937,-0.656881787607044,0.13255657438055005,-0.17693891058653569
14,6.00707,-0.48324687779466136,1.9307402226517758,0.8451465044000126,-0.031772974206600635,0.9946990261248955,-0.09765562504586839,0.29921932985166877,-1.4336581036691052,0.45059712650037076,0.7185312062046143,-0.6563489768130351,0.14266871076300072,-0.18038190725261652
15,6.01707,-0.25809253983446034,1.6595375661895129,0.8769881779070104,-0.021407312303642487,0.995301967743799,-0.09428649458745554,0.41584923205563545,-1.4673663007492455,0.46248134417433706,0.7167179018081759,-0.6554590809415389,0.15234896128548764,-0.18291323786867233
16,6.02707,0.1817125226348984,1.3214635152762189,0.834074258707232,-0.011508824336435288,0.9954891403317365,-0.09406495933124337,0.5564723917360971,-1.4504106353248927,0.42148493667104253,0.7161813125309601,-0.6535932456887573,0.16052862889753106,-0.1847063250322133
17,6.03707,0.658522386465485,1.0529656833122893,0.7924977256842023,-0.002339595528391603,0.9951342341115801,-0.09837196115251387,0.7047473034585179,-1.4257614360003386,0.3574036676204182,0.7173437884031332,-0.6503177118293963,0.16700269580520957,-0.186019027515885
18,6.04707,0.9674763132041966,0.812940887171707,0.7864889537902723,0.006354123981622442,0.9942671307971662,-0.10656865259392544,0.8113125261214589,-1.422657823519794,0.3215788311908251,0.7199537353851178,-0.6458217318814444,0.17210417671889783,-0.1869463379400585
19,6.05707,1.0268069884151694,0.5647653906876293,0.8557642292789706,0.014608679688724365,0.993085446707052,-0.11632423884326841,0.8191046877782195,-1.4669023384193032,0.3132948510756278,0.7232475605448717,-0.6409608912189855,0.1760651155802055,-0.18727687003613666
20,6.06707,0.940077154587664,0.373314897412072,1.0867136096649164,0.024326033361489717,0.9917216817253598,-0.12590593318387586,0.7135520298536079,-1.538926735541163,0.3267770296363517,0.726815552227157,-0.6361812036784107,0.17975671770192858,-0.18624930178453256
