time,seconds_elapsed,bpm
1681247984038655200,-1.2963447265625,93
1681247990038655200,4.7036552734375,92.00000000000001
1681247990038655200,4.7036552734375,92.00000000000001
1681247990038655200,4.7036552734375,92.00000000000001
1681247993038655200,7.7036552734375,93
1681247993038655200,7.7036552734375,93
1681247993038655200,7.7036552734375,93
1681247997038655200,11.7036552734375,95
1681247997038655200,11.7036552734375,95
1681247997038655200,11.7036552734375,95
1681248005038655200,19.7036552734375,97
1681248005038655200,19.7036552734375,97
1681248005038655200,19.7036552734375,97
1681248006038655200,20.7036552734375,96
1681248006038655200,20.7036552734375,96
1681248006038655200,20.7036552734375,96
1681248015038655200,29.7036552734375,96
1681248015038655200,29.7036552734375,96
1681248015038655200,29.7036552734375,96
1681248016038655200,30.7036552734375,95
1681248016038655200,30.7036552734375,95
1681248016038655200,30.7036552734375,95
1681248023038655200,37.7036552734375,97
1681248023038655200,37.7036552734375,97
1681248023038655200,37.7036552734375,97
1681248027038655200,41.7036552734375,96
1681248027038655200,41.7036552734375,96
1681248027038655200,41.7036552734375,96
1681248034038655200,48.7036552734375,97
1681248034038655200,48.7036552734375,97
1681248034038655200,48.7036552734375,97
1681248040038655200,54.7036552734375,97
1681248040038655200,54.7036552734375,97
1681248040038655200,54.7036552734375,97
