seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1.0,-2.73060564755522,0.3859788415202564,2.3605377025697156,0.03542849984405674,-0.05462387332563443,-0.9977789491219005,0.3637999740311926,0.29620224616704677,-0.02716732209841012,0.9992351278002403,0.027661283215445535,0.01714426306077546,-0.019401927667481285
1.01,-3.1173860493085725,0.3443349255094481,2.5202425777529767,0.038077485032055866,-0.025904591587095134,-0.9986831295708066,0.4109220761663291,0.29225652818025444,0.022657732998409542,0.9996003898310653,0.013076174281133215,0.01884594474958691,-0.006802453270545766
1.02,-3.5704325106956265,0.2988250406742733,2.648375324767834,0.04092684178838088,0.005839129398593789,-0.9989278762639717,0.4610735049921077,0.2719610268697326,0.09032374189221284,0.9996816709184153,-0.003058308739741924,0.02036884133757016,0.0063657313661816175
1.03,-4.11467243014869,0.23948150154732323,2.721740972198371,0.04428700163513264,0.04303392548674702,-0.9978683965839061,0.4933383146966642,0.22748898768150463,0.15604839316588195,0.9992306800079194,-0.021980517426407966,0.021630995147637434,0.020263667979255044
1.04,-4.655166506411057,0.16973292492707553,2.7064553549982935,0.048048103896484,0.08613717012216042,-0.994536478707887,0.5427056428907028,0.1465681748218105,0.29936950591453254,0.997990502746846,-0.04394723335550007,0.022383502923051267,0.034227167403592954
1.05,-5.1719977832566535,0.10565852666053617,2.6762547157162144,0.052213632022456005,0.13290702469819377,-0.9893224768487602,0.5839798074750169,0.06600789261212715,0.4371068211304577,0.9961314038168779,-0.0678391351041414,0.022813247575195327,0.048190086809452456
1.06,-5.618319596086538,0.07073405165704691,2.6950692647925445,0.0572193425142978,0.18483187478415364,-0.980638841863478,0.5812274713376843,0.026060310982128014,0.4732059713664505,0.993176696523135,-0.09450028773815644,0.022777880085808465,0.06208016930630483
1.07,-5.926565515949533,0.08132772045204742,2.788034295873144,0.06398556698054697,0.23963255169016118,-0.9677679321962402,0.5582222522471522,0.05052062093945435,0.49518288863949134,0.9889031199233466,-0.12298387800038132,0.022620174808258252,0.07632424886096192
1.08,-6.16292926393386,0.11614836084857283,2.923193727718639,0.07225788824305619,0.2956373835190793,-0.9519787591848243,0.5313987427768403,0.08615975831661377,0.5031468178119494,0.9836865839389458,-0.1524125985058683,0.022500118706931128,0.0909211981046247
1.09,-6.324909064989481,0.1772233646549059,3.1100371351486005,0.08340536107534904,0.3522339581359078,-0.9315208255165338,0.5156430586517897,0.08345069940091145,0.4817348028023069,0.9769217736290681,-0.18281123921779746,0.02264533003069659,0.1062597686915029
1.1,-6.397443685126456,0.22801451896601282,3.3312878890580846,0.09790900909160735,0.40756225706064436,-0.9066822927377898,0.5228342756356018,0.12278082933409018,0.46351031827991684,0.968564197992671,-0.21350256924164182,0.023230286914449883,0.12256755729591345
1.11,-6.442090644412667,0.2723544319655937,3.557576492382799,0.11473706633159415,0.4616035538948411,-0.8789620313863722,0.5369249942044282,0.16198354886886673,0.44160918279595096,0.9591084940038215,-0.24426226614509536,0.024123558349205702,0.13950938092381293
1.12,-6.503786606791269,0.30764778754054245,3.758006691208603,0.13526042756094336,0.5128623598323618,-0.8469347019737953,0.5457768860210839,0.14828119891444191,0.40325812191544513,0.9479159877320361,-0.27488853318844686,0.025513753654481174,0.15739209736009016
1.1300000000000001,-6.493050078780709,0.26773094686808807,3.9230833713367463,0.15854591483944092,0.5606311926737044,-0.8113155432594303,0.5668436845153965,0.15935441055157865,0.37526378509857977,0.9350870509085396,-0.30512262611117136,0.027024803762757125,0.17597592081617539
1.1400000000000001,-6.476367421214096,0.19507879054841482,4.06590739441073,0.18348243758052174,0.6058185701625797,-0.7734075243193296,0.5876731978322354,0.17138076761027324,0.3454575963800527,0.9211451640016668,-0.3350230570712969,0.028509682353426356,0.19498071464408578
1.1500000000000001,-6.535812838388274,0.10790001934396364,4.177717813614953,0.21053362523594715,0.6465889245322509,-0.7322497961930606,0.5912959949165837,0.1535601077823194,0.2953879325427605,0.9054755804827659,-0.36427361054740215,0.02974038644830846,0.2145289299773576
1.1600000000000001,-6.5189835819363635,-0.03184737555704159,4.237960874160229,0.23889790910896283,0.6829867407862275,-0.6886119617836959,0.5845494073810877,0.1808614275245427,0.24337008336187504,0.8882465584927364,-0.39282778841605576,0.030483557998975914,0.2343515268925918
1.1700000000000002,-6.4733532028105305,-0.19853015226631893,4.27659578750059,0.26792956575551713,0.7161973181450416,-0.6436008850772149,0.5700456641807427,0.2165062175327522,0.18468186119151433,0.8700042216306111,-0.42077622716898266,0.030810721470978287,0.25431170647909246
1.1800000000000002,-6.43206685232332,-0.38816622909399146,4.3103440112115115,0.29751465158834267,0.7440314904577697,-0.5971316561135532,0.5420643136300933,0.2177423640639134,0.10437178772927402,0.8502962876446648,-0.44750904416736315,0.03031637970780558,0.2743806814311856
1.1900000000000002,-6.212407331350824,-0.6018892016532384,4.311545961814158,0.32730658324448686,0.766246844014828,-0.5512106044396292,0.5065923607494978,0.2809250730161117,0.022141458622251996,0.8296577678791328,-0.47245552997691903,0.029133553986500395,0.2946060538892113
1.2000000000000002,-5.903253972226405,-0.8166018979649401,4.272732887897818,0.35696687074419603,0.7845223269107673,-0.5063269302318164,0.4680284556319293,0.3579078556330692,-0.05962361776418784,0.8086005505464843,-0.4959471172913308,0.027496310830351627,0.3148037925431218
