time,seconds_elapsed,bpm
1681574612950234600,0.310234619140625,80
1681574617950234600,5.310234619140625,81
1681574622950234600,10.310234619140624,83
1681574625950234600,13.310234619140624,85
1681574632950234600,20.310234619140626,90
1681574635950234600,23.310234619140626,92.00000000000001
1681574642450234600,29.810234619140626,93
1681574646450234600,33.81023461914062,97
1681574650450234600,37.81023461914062,100
1681574656450234600,43.81023461914062,104
1681574663450234600,50.81023461914062,106
1681574667450234600,54.81023461914062,107.00000000000001
1681574670450234600,57.81023461914062,109
1681574677450234600,64.81023461914063,110
1681574680450234600,67.81023461914063,109
